touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2.0, -2.0, ACCEL, 75810.293658625, -0.0484161376953125, -0.732177734375, -0.607345581054688
-2.0, -2.0, ACCEL, 75810.283618625, -0.0555267333984375, -0.733291625976562, -0.612503051757812
-2.0, -2.0, ACCEL, 75810.273578625, -0.0572357177734375, -0.742584228515625, -0.628707885742188
-2.0, -2.0, ACCEL, 75810.263568625, -0.0486907958984375, -0.751739501953125, -0.64398193359375
-2.0, -2.0, ACCEL, 75810.253528625, -0.02459716796875, -0.748123168945312, -0.618988037109375
-2.0, -2.0, ACCEL, 75810.243488625, 0.0113067626953125, -0.744430541992188, -0.6591796875
-2.0, -2.0, ACCEL, 75810.233447625, 0.02362060546875, -0.798248291015625, -0.660354614257812
-2.0, -2.0, ACCEL, 75810.223437625, 0.0608673095703125, -0.83746337890625, -0.642044067382812
-2.0, -2.0, ACCEL, 75810.213397625, 0.0641937255859375, -0.8004150390625, -0.684646606445312
-2.0, -2.0, ACCEL, 75810.203357625, 0.0414276123046875, -0.758316040039062, -0.706817626953125
-2.0, -2.0, ACCEL, 75810.193317625, 0.013763427734375, -0.74859619140625, -0.708648681640625
-2.0, -2.0, ACCEL, 75810.183307625, -0.01397705078125, -0.737075805664062, -0.690277099609375
-2.0, -2.0, ACCEL, 75810.173267625, -0.04473876953125, -0.709854125976562, -0.696929931640625
-2.0, -2.0, ACCEL, 75810.163226625, -0.04107666015625, -0.699050903320312, -0.690750122070312
-2.0, -2.0, ACCEL, 75810.153186625, -0.024139404296875, -0.721343994140625, -0.639190673828125
-2.0, -2.0, ACCEL, 75810.143146625, -0.029510498046875, -0.744049072265625, -0.596328735351562
-2.0, -2.0, ACCEL, 75810.133136625, -0.0329437255859375, -0.74969482421875, -0.579330444335938
-2.0, -2.0, ACCEL, 75810.123096625, -0.0325775146484375, -0.755264282226562, -0.564559936523438
-2.0, -2.0, ACCEL, 75810.113055625, -0.0310211181640625, -0.744232177734375, -0.565704345703125
-2.0, -2.0, ACCEL, 75810.103015625, -0.0314788818359375, -0.719223022460938, -0.581878662109375
-2.0, -2.0, ACCEL, 75810.093005625, -0.02667236328125, -0.71954345703125, -0.589218139648438
-2.0, -2.0, ACCEL, 75810.082965625, -0.0221099853515625, -0.733673095703125, -0.606765747070312
-2.0, -2.0, ACCEL, 75810.072925625, -0.0209503173828125, -0.740432739257812, -0.632827758789062
0.0311110839843749, 0.461269350066178, ACCEL, 75810.062884625, 0.0037078857421875, -0.741485595703125, -0.65704345703125
0.0311110839843749, 0.461269350066178, ACCEL, 75810.052875625, 0.0118865966796875, -0.737060546875, -0.683807373046875
0.0311110839843749, 0.461269350066178, ACCEL, 75810.042834625, -0.00872802734375, -0.72894287109375, -0.717880249023438
0.0311110839843749, 0.461269350066178, ACCEL, 75810.032794625, -0.0149993896484375, -0.732376098632812, -0.722915649414062
0.0311110839843749, 0.461269350066178, ACCEL, 75810.022754625, -0.0239410400390625, -0.720169067382812, -0.73321533203125
0.0311110839843749, 0.461269350066178, ACCEL, 75810.012714625, -0.0296478271484375, -0.725357055664062, -0.754592895507812
0.0311110839843749, 0.461269350066178, ACCEL, 75810.002704625, -0.0359039306640625, -0.7232666015625, -0.76513671875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.992664625, -0.03662109375, -0.716567993164062, -0.751190185546875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.982623625, -0.0341339111328125, -0.720184326171875, -0.732376098632812
0.0311110839843749, 0.461269350066178, ACCEL, 75809.972583625, -0.0361175537109375, -0.71710205078125, -0.702606201171875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.962573625, -0.0354766845703125, -0.723922729492188, -0.676864624023438
0.0311110839843749, 0.461269350066178, ACCEL, 75809.952533625, -0.02191162109375, -0.723480224609375, -0.651336669921875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.942493625, -0.023681640625, -0.710617065429688, -0.632293701171875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.932452625, -0.0194854736328125, -0.735275268554688, -0.695281982421875
0.0311110839843749, 0.461269350066178, ACCEL, 75809.922443625, -0.0087127685546875, -0.733627319335938, -0.699172973632812
0.0311110839843749, 0.461269350066178, ACCEL, 75809.912402625, -0.01873779296875, -0.70111083984375, -0.70379638671875
-2.0, -2.0, ACCEL, 75809.902362625, -0.01800537109375, -0.707168579101562, -0.755477905273438
-2.0, -2.0, ACCEL, 75809.892322625, -0.020477294921875, -0.693130493164062, -0.756393432617188
-2.0, -2.0, ACCEL, 75809.882281625, -0.019775390625, -0.690521240234375, -0.745635986328125
-2.0, -2.0, ACCEL, 75809.872272625, -0.0220947265625, -0.692291259765625, -0.734710693359375
-2.0, -2.0, ACCEL, 75809.862231625, -0.0262451171875, -0.699615478515625, -0.7210693359375
-2.0, -2.0, ACCEL, 75809.852191625, -0.0352783203125, -0.699874877929688, -0.719284057617188
-2.0, -2.0, ACCEL, 75809.842151625, -0.0449371337890625, -0.698028564453125, -0.707733154296875
-2.0, -2.0, ACCEL, 75809.832141625, -0.058929443359375, -0.705734252929688, -0.680374145507812
-2.0, -2.0, ACCEL, 75809.822101625, -0.059051513671875, -0.692718505859375, -0.682723999023438
-2.0, -2.0, ACCEL, 75809.812061625, -0.0715789794921875, -0.690322875976562, -0.676254272460938
-2.0, -2.0, ACCEL, 75809.802020625, -0.0681610107421875, -0.685531616210938, -0.679473876953125
-2.0, -2.0, ACCEL, 75809.792010625, -0.0675048828125, -0.69158935546875, -0.674896240234375
-2.0, -2.0, ACCEL, 75809.781970625, -0.0569305419921875, -0.686630249023438, -0.6680908203125
-2.0, -2.0, ACCEL, 75809.771930625, -0.043426513671875, -0.685684204101562, -0.669265747070312
-2.0, -2.0, ACCEL, 75809.761890625, -0.02166748046875, -0.703506469726562, -0.683731079101562
-2.0, -2.0, ACCEL, 75809.751880625, 0.00018310546875, -0.711822509765625, -0.678268432617188
